date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:10	1866/1866	---M-Z	200	added ('OK')	text/html	etag:%223e60f4c-74a-54f3409458d00-gzip%22	http://thememakker.com/swift/hospital/404.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/404.html	(from http://thememakker.com/swift/hospital/)
19:19:11	1872/1872	---M-Z	200	added ('OK')	text/html	etag:%223e60f4d-750-54f3408146000-gzip%22	http://thememakker.com/swift/hospital/500.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/500.html	(from http://thememakker.com/swift/hospital/)
19:19:12	1879/1879	---M-Z	200	added ('OK')	text/html	etag:%223e61382-757-54f340ab3c300-gzip%22	http://thememakker.com/swift/hospital/page-offline.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/page-offline.html	(from http://thememakker.com/swift/hospital/)
19:19:13	2459/2459	---M-Z	200	added ('OK')	text/html	etag:%223e6137d-99b-54f340b0f5080-gzip%22	http://thememakker.com/swift/hospital/locked.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/locked.html	(from http://thememakker.com/swift/hospital/)
19:19:14	29843/29843	---M-Z	200	added ('OK')	text/html	etag:%223e6136c-7493-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/blank.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/blank.html	(from http://thememakker.com/swift/hospital/)
19:19:15	49639/49639	---M-Z	200	added ('OK')	text/html	etag:%223e61393-c1e7-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/typography.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/typography.html	(from http://thememakker.com/swift/hospital/)
19:19:16	51304/51304	---M-Z	200	added ('OK')	text/html	etag:%223e61378-c868-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/helper-classes.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/helper-classes.html	(from http://thememakker.com/swift/hospital/)
19:19:17	40746/40746	---M-Z	200	added ('OK')	text/html	etag:%223e60f51-9f2a-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/alerts.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/alerts.html	(from http://thememakker.com/swift/hospital/)
19:19:18	38763/38763	---M-Z	200	added ('OK')	text/html	etag:%223e60f52-976b-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/animations.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/animations.html	(from http://thememakker.com/swift/hospital/)
19:19:19	37595/37595	---M-Z	200	added ('OK')	text/html	etag:%223e6136b-92db-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/badges.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/badges.html	(from http://thememakker.com/swift/hospital/)
19:19:20	49693/49693	---M-Z	200	added ('OK')	text/html	etag:%223e6136e-c21d-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/breadcrumbs.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/breadcrumbs.html	(from http://thememakker.com/swift/hospital/)
19:19:21	138526/138526	---M-Z	200	added ('OK')	text/html	etag:%223e6136f-21d1e-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/buttons.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/buttons.html	(from http://thememakker.com/swift/hospital/)
19:19:22	87911/87911	---M-Z	200	added ('OK')	text/html	etag:%223e61370-15767-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/collapse.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/collapse.html	(from http://thememakker.com/swift/hospital/)
19:19:23	44708/44708	---M-Z	200	added ('OK')	text/html	etag:%223e61371-aea4-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/colors.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/colors.html	(from http://thememakker.com/swift/hospital/)
19:19:24	35661/35661	---M-Z	200	added ('OK')	text/html	etag:%223e61373-8b4d-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/dialogs.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/dialogs.html	(from http://thememakker.com/swift/hospital/)
19:19:25	309797/309797	---M-Z	200	added ('OK')	text/html	etag:%223e61379-4ba25-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/icons.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/icons.html	(from http://thememakker.com/swift/hospital/)
19:19:26	35118/35118	---M-Z	200	added ('OK')	text/html	etag:%223e6137b-892e-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/labels.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/labels.html	(from http://thememakker.com/swift/hospital/)
19:19:27	51079/51079	---M-Z	200	added ('OK')	text/html	etag:%223e6137c-c787-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/list-group.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/list-group.html	(from http://thememakker.com/swift/hospital/)
19:19:28	40958/40958	---M-Z	200	added ('OK')	text/html	etag:%223e6137f-9ffe-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/media-object.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/media-object.html	(from http://thememakker.com/swift/hospital/)
19:19:29	41823/41823	---M-Z	200	added ('OK')	text/html	etag:%223e61380-a35f-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/modals.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/modals.html	(from http://thememakker.com/swift/hospital/)
19:19:30	57114/57114	---M-Z	200	added ('OK')	text/html	etag:%223e61381-df1a-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/notifications.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/notifications.html	(from http://thememakker.com/swift/hospital/)
19:19:31	44242/44242	---M-Z	200	added ('OK')	text/html	etag:%223e61383-acd2-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/pagination.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/pagination.html	(from http://thememakker.com/swift/hospital/)
19:19:32	47933/47933	---M-Z	200	added ('OK')	text/html	etag:%223e61388-bb3d-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/preloaders.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/preloaders.html	(from http://thememakker.com/swift/hospital/)
19:19:33	45456/45456	---M-Z	200	added ('OK')	text/html	etag:%223e6138a-b190-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/progressbars.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/progressbars.html	(from http://thememakker.com/swift/hospital/)
19:19:34	34628/34628	---M-Z	200	added ('OK')	text/html	etag:%223e6138b-8744-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/range-sliders.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/range-sliders.html	(from http://thememakker.com/swift/hospital/)
19:19:35	44007/44007	---M-Z	200	added ('OK')	text/html	etag:%223e6138f-abe7-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/sortable-nestable.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/sortable-nestable.html	(from http://thememakker.com/swift/hospital/)
19:19:36	57965/57965	---M-Z	200	added ('OK')	text/html	etag:%223e61390-e26d-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/tabs.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/tabs.html	(from http://thememakker.com/swift/hospital/)
19:19:37	37852/37852	---M-Z	200	added ('OK')	text/html	etag:%223e61391-93dc-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/thumbnails.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/thumbnails.html	(from http://thememakker.com/swift/hospital/)
19:19:38	36884/36884	---M-Z	200	added ('OK')	text/html	etag:%223e61392-9014-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/tooltips-popovers.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/tooltips-popovers.html	(from http://thememakker.com/swift/hospital/)
19:19:39	45266/45266	---M-Z	200	added ('OK')	text/html	etag:%223e61394-b0d2-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/waves.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/waves.html	(from http://thememakker.com/swift/hospital/)
19:19:44	10609/10609	---M--	200	added ('OK')	application/javascript	etag:%223e60f5e-2971-54f33fcc13480%22	http://thememakker.com/swift/hospital/assets/bundles/vendorscripts.bundle.js	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/assets/bundles/vendorscripts.bundle.js	(from http://thememakker.com/swift/hospital/)
19:19:50	9372/9372	---M--	200	added ('OK')	application/javascript	etag:%223e60f5b-249c-54f33fcc13480%22	http://thememakker.com/swift/hospital/assets/bundles/mainscripts.bundle.js	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/assets/bundles/mainscripts.bundle.js	(from http://thememakker.com/swift/hospital/)
19:19:53	2738/2738	---M--	200	added ('OK')	application/javascript	etag:%223e60f8a-ab2-54f33e37b7a80%22	http://thememakker.com/swift/hospital/assets/js/morphing.js	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/assets/js/morphing.js	(from http://thememakker.com/swift/hospital/)
19:19:56	3501/3501	---M--	200	added ('OK')	application/javascript	etag:%223e60f9a-dad-547b9a3316b00%22	http://thememakker.com/swift/hospital/assets/js/pages/charts/sparkline.min.js	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/assets/js/pages/charts/sparkline.min.js	(from http://thememakker.com/swift/hospital/)
19:19:56	63042/63042	---M--	200	added ('OK')	application/javascript	etag:%223e8091d-f642-547be3f5d7100%22	http://thememakker.com/swift/hospital/assets/plugins/jquery-sparkline/jquery.sparkline.min.js	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/assets/plugins/jquery-sparkline/jquery.sparkline.min.js	(from http://thememakker.com/swift/hospital/)
19:19:58	2320/2320	---M--	200	added ('OK')	application/javascript	etag:%223e60f95-910-547b9a3316b00%22	http://thememakker.com/swift/hospital/assets/js/pages/charts/chartjs.min.js	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/assets/js/pages/charts/chartjs.min.js	(from http://thememakker.com/swift/hospital/)
19:19:59	38384/38384	---M--	200	added ('OK')	text/html	etag:%223e60f6b-95f0-5240ab164cf00%22	http://thememakker.com/swift/hospital/assets/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/assets/fonts/Material-Design-Iconic-Fontd1f1.html	(from http://thememakker.com/swift/hospital/assets/css/main.css)
