date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:14:11	8488/8488	---M--	200	added ('OK')	image/png	etag:%22155a10d2-2128-54eaf828bda00%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/images/portrait/small/avatar-s-1.png	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/images/portrait/small/avatar-s-1.png	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:14:12	9618/9618	---M--	200	added ('OK')	image/png	etag:%22155a10dd-2592-54eaf828bda00%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/images/portrait/small/avatar-s-2.png	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/images/portrait/small/avatar-s-2.png	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:14:14	8732/8732	---M--	200	added ('OK')	image/png	etag:%22155a10e5-221c-54eaf828bda00%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/images/portrait/small/avatar-s-3.png	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/images/portrait/small/avatar-s-3.png	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:14:18	8699/8699	---M--	200	added ('OK')	image/png	etag:%22155a10e8-21fb-54eaf828bda00%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/images/portrait/small/avatar-s-6.png	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/images/portrait/small/avatar-s-6.png	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:14:22	122773/122773	---M-Z	200	added ('OK')	text/html	etag:%221584093a-1df95-55170f2d84500%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/dashboard-ecommerce.html	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/dashboard-ecommerce.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:14:23	108051/108051	---M-Z	200	added ('OK')	text/html	etag:%2215840939-1a613-55170f2d84500%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/dashboard-analytics.html	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/dashboard-analytics.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:14:23	125096/125096	---M-Z	200	added ('OK')	text/html	etag:%221584093b-1e8a8-55170f2d84500%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/dashboard-fitness.html	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/dashboard-fitness.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:14:29	57015/57015	---M-Z	200	added ('OK')	text/html	etag:%2215840996-deb7-55170f2d84500%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/layout-1-column.html	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/layout-1-column.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:14:34	108391/108391	---M-Z	200	added ('OK')	text/html	etag:%2215840999-1a767-55170f2d84500%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/layout-content-detached-left-sidebar.html	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/layout-content-detached-left-sidebar.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:14:35	109953/109953	---M-Z	200	added ('OK')	text/html	etag:%221584099a-1ad81-55170f2d84500%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/layout-content-detached-left-sticky-sidebar.html	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/layout-content-detached-left-sticky-sidebar.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
